question_type	question_text	required	page_number	option_text	option_values	variables
numeric	(C) How old were you the first time?	1	34			beh_32_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	34	"Yes, No, N/A"	"1, 0, 2"	beh_32_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	34	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_32_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	34	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_32_pos
instruction	"Behavior: Gambled illegally (not part of a legal business, using a bookie)."	0	35			
numeric	(A) How many times total have you done this in your life?	1	35			beh_33_total
numeric	(B)How many times have you done this in the past month?	1	35			beh_33_month
numeric	(C) How old were you the first time?	1	35			beh_33_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	35	"Yes, No, N/A"	"1, 0, 2"	beh_33_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	35	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_33_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	35	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_33_pos
instruction	Behavior: Abused prescription medication.	0	36			
numeric	(A) How many times total have you done this in your life?	1	36			beh_34_total
numeric	(B)How many times have you done this in the past month?	1	36			beh_34_month
numeric	(C) How old were you the first time?	1	36			beh_34_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	36	"Yes, No, N/A"	"1, 0, 2"	beh_34_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	36	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_34_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	36	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_34_pos
instruction	Behavior: Ate a lot of food when not hungry.	0	37			
numeric	(A) How many times total have you done this in your life?	1	37			beh_35_total
numeric	(B)How many times have you done this in the past month?	1	37			beh_35_month
numeric	(C) How old were you the first time?	1	37			beh_35_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	37	"Yes, No, N/A"	"1, 0, 2"	beh_35_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	37	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_35_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	37	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_35_pos
instruction	Behavior: Had a plan to kill yourself.	0	38			
numeric	(A) How many times total have you done this in your life?	1	38			beh_36_total
numeric	(B)How many times have you done this in the past month?	1	38			beh_36_month
numeric	(C) How old were you the first time?	1	38			beh_36_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	38	"Yes, No, N/A"	"1, 0, 2"	beh_36_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	38	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_36_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	38	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_36_pos
instruction	Behavior: Ran red lights or ignored stop signs.	0	39			
numeric	(A) How many times total have you done this in your life?	1	39			beh_37_total
numeric	(B)How many times have you done this in the past month?	1	39			beh_37_month
numeric	(C) How old were you the first time?	1	39			beh_37_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	39	"Yes, No, N/A"	"1, 0, 2"	beh_37_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	39	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_37_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	39	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_37_pos
instruction	Behavior: Stole money.	0	40			
numeric	(A) How many times total have you done this in your life?	1	40			beh_38_total
numeric	(B)How many times have you done this in the past month?	1	40			beh_38_month
numeric	(C) How old were you the first time?	1	40			beh_38_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	40	"Yes, No, N/A"	"1, 0, 2"	beh_38_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	40	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_38_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	40	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_38_pos
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	41			
